name,GW,total_points
Alex_Iwobi_17,18,1
Alex_Iwobi_17,25,2
Alex_Iwobi_17,27,1
Alex_Iwobi_17,30,3
Alex_Iwobi_17,31,3
Alex_Iwobi_17,32,2
Alex_Iwobi_17,33,1
Alex_Iwobi_17,34,1
Alex_Iwobi_17,35,1
Alex_Iwobi_17,36,3
Alex_McCarthy_318,11,1
Alex_McCarthy_318,12,2
Alex_McCarthy_318,13,2
Alex_McCarthy_318,14,2
Alex_McCarthy_318,15,2
Alex_McCarthy_318,16,2
Alex_McCarthy_318,17,3
Alex_McCarthy_318,18,3
Alex_McCarthy_318,19,7
Alex_McCarthy_318,20,2
Alex_McCarthy_318,21,8
Alex_McCarthy_318,22,3
Alex_McCarthy_318,23,1
Alex_McCarthy_318,24,6
Alex_McCarthy_318,25,1
Alex_McCarthy_318,26,2
Alex_McCarthy_318,27,7
Alex_McCarthy_318,28,2
Alex_McCarthy_318,29,12
Alex_McCarthy_318,30,6
Alex_McCarthy_318,31,2
Alex_McCarthy_318,32,2
Alex_McCarthy_318,33,11
Alex_McCarthy_318,34,3
Alex_McCarthy_318,35,1
Alex_McCarthy_318,36,2
Alex_McCarthy_318,37,7
Alex_McCarthy_318,38,2
Alex_Oxlade-Chamberlain_193,2,2
Alex_Oxlade-Chamberlain_193,3,1
Alex_Oxlade-Chamberlain_193,4,1
Alex_Oxlade-Chamberlain_193,5,2
Alex_Oxlade-Chamberlain_193,7,1
Alex_Oxlade-Chamberlain_193,9,1
Alex_Oxlade-Chamberlain_193,11,1
Alex_Oxlade-Chamberlain_193,12,1
Alex_Oxlade-Chamberlain_193,13,3
Alex_Oxlade-Chamberlain_193,14,3
Alex_Oxlade-Chamberlain_193,16,8
Alex_Oxlade-Chamberlain_193,17,1
Alex_Oxlade-Chamberlain_193,22,2
Alex_Oxlade-Chamberlain_193,23,3
Alex_Oxlade-Chamberlain_193,24,2
Alex_Oxlade-Chamberlain_193,24,10
Alex_Oxlade-Chamberlain_193,25,8
Alex_Oxlade-Chamberlain_193,26,1
Alex_Oxlade-Chamberlain_193,27,1
Alex_Oxlade-Chamberlain_193,28,2
Alex_Oxlade-Chamberlain_193,29,2
Alex_Oxlade-Chamberlain_193,30,1
Alex_Oxlade-Chamberlain_193,31,1
Alex_Oxlade-Chamberlain_193,32,-1
Alex_Oxlade-Chamberlain_193,33,3
Alex_Oxlade-Chamberlain_193,34,2
Alex_Oxlade-Chamberlain_193,35,1
Alex_Oxlade-Chamberlain_193,36,2
Alex_Oxlade-Chamberlain_193,37,6
Alex_Oxlade-Chamberlain_193,38,5
Alexander_Tettey_289,2,1
Alexander_Tettey_289,5,2
Alexander_Tettey_289,6,1
Alexander_Tettey_289,9,3
Alexander_Tettey_289,10,2
Alexander_Tettey_289,11,2
Alexander_Tettey_289,12,2
Alexander_Tettey_289,13,2
Alexander_Tettey_289,15,5
Alexander_Tettey_289,16,9
Alexander_Tettey_289,17,1
Alexander_Tettey_289,18,2
Alexander_Tettey_289,19,1
Alexander_Tettey_289,20,2
Alexander_Tettey_289,21,1
Alexander_Tettey_289,22,2
Alexander_Tettey_289,23,3
Alexander_Tettey_289,24,2
Alexander_Tettey_289,25,3
Alexander_Tettey_289,26,2
Alexander_Tettey_289,27,2
Alexander_Tettey_289,28,3
Alexander_Tettey_289,29,2
Alexander_Tettey_289,31,2
Alexander_Tettey_289,32,2
Alexander_Tettey_289,33,2
Alexander_Tettey_289,34,0
Alexander_Tettey_289,35,2
Alexander_Tettey_289,36,2
Alexander_Tettey_289,37,2
Alexandre_Lacazette_12,2,8
Alexandre_Lacazette_12,3,1
Alexandre_Lacazette_12,4,5
Alexandre_Lacazette_12,9,1
Alexandre_Lacazette_12,10,5
Alexandre_Lacazette_12,11,4
Alexandre_Lacazette_12,12,2
Alexandre_Lacazette_12,13,12
Alexandre_Lacazette_12,14,2
Alexandre_Lacazette_12,15,7
Alexandre_Lacazette_12,18,1
Alexandre_Lacazette_12,19,1
Alexandre_Lacazette_12,20,1
Alexandre_Lacazette_12,21,2
Alexandre_Lacazette_12,22,4
Alexandre_Lacazette_12,23,2
Alexandre_Lacazette_12,24,2
Alexandre_Lacazette_12,25,2
Alexandre_Lacazette_12,26,9
Alexandre_Lacazette_12,29,7
