name,GW,fixture,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron_Cresswell_376,14,132,0,3,36,1,16.1,376,0,1,8.2,49.2,90,6,0,0,0,0,14,0,90106,1.0,0.0,17,14,-12077,1029,13106,47,0,1
Aaron_Cresswell_376,15,146,0,0,7,0,3.6,376,2,0,1.5,10.4,90,20,0,0,0,0,15,0,103225,0.0,2.0,1,0,11058,12861,1803,47,0,1
Aaron_Cresswell_376,16,160,0,0,1,0,2.5,376,0,0,1.6,13.8,50,1,0,0,0,0,16,0,109020,3.0,1.0,0,0,5190,10957,5767,47,1,1
Aaron_Cresswell_376,17,169,0,0,19,1,3.3,376,0,0,1.2,8.8,90,16,0,0,0,0,17,0,99001,1.0,0.0,0,6,-9688,4356,14044,47,0,0
Aaron_Cresswell_376,19,184,0,0,17,0,26.7,376,2,0,5.6,21.2,90,7,0,0,0,0,19,0,108773,1.0,2.0,8,0,6383,10253,3870,47,0,1
Aaron_Cresswell_376,21,210,0,0,19,1,23.1,376,0,0,4.1,12.4,90,3,0,0,0,0,21,0,98231,0.0,4.0,5,5,5093,13662,8569,47,1,1
Aaron_Cresswell_376,22,218,0,0,16,0,24.1,376,1,0,4.6,21.6,90,15,0,0,0,0,22,0,94368,0.0,1.0,0,2,-3869,6963,10832,47,0,0
Aaron_Cresswell_376,23,230,0,0,16,0,59.3,376,1,0,8.1,21.4,90,8,0,0,0,0,23,0,99546,1.0,1.0,0,2,4354,10989,6635,47,1,0
Aaron_Cresswell_376,24,180,0,0,11,0,4.3,376,2,0,1.7,12.6,90,10,0,0,0,0,24,0,121950,2.0,0.0,0,1,13909,20400,6491,47,1,0
Aaron_Cresswell_376,24,234,0,0,9,0,19.5,376,4,0,3.7,13.2,90,9,0,0,0,0,24,0,121950,1.0,4.0,4,0,13909,20400,6491,47,0,0
