name,GW,points,form
Alexandre_Lacazette_12,2,8,0.0
Alexandre_Lacazette_12,3,1,4.0
Alexandre_Lacazette_12,4,5,3.0
Alexandre_Lacazette_12,9,1,0.0
Alexandre_Lacazette_12,10,5,0.25
Alexandre_Lacazette_12,11,4,1.5
Alexandre_Lacazette_12,12,2,2.5
Alexandre_Lacazette_12,13,12,3.0
Alexandre_Lacazette_12,14,2,5.75
Alexandre_Lacazette_12,15,7,5.0
Alexandre_Lacazette_12,18,1,2.25
Alexandre_Lacazette_12,19,1,2.0
Alexandre_Lacazette_12,20,1,0.5
Alexandre_Lacazette_12,21,2,0.75
Alexandre_Lacazette_12,22,4,1.25
Alexandre_Lacazette_12,23,2,2.0
Alexandre_Lacazette_12,24,2,2.25
Alexandre_Lacazette_12,25,2,2.5
Alexandre_Lacazette_12,26,9,2.5
Alexandre_Lacazette_12,29,7,2.75
Alexandre_Lacazette_12,30,1,4.0
Alexandre_Lacazette_12,30,1,4.25
Alexandre_Lacazette_12,31,4,2.25
Alexandre_Lacazette_12,32,2,3.25
Alexandre_Lacazette_12,33,8,2.0
Alexandre_Lacazette_12,34,2,3.75
Alexandre_Lacazette_12,35,6,4.0
Alexandre_Lacazette_12,36,11,4.5
Alexandre_Lacazette_12,37,1,6.75
Alexandre_Lacazette_12,38,4,5.0
Alexis_Mac Allister_627,29,1,0.0
Alexis_Mac Allister_627,30,1,0.25
Alexis_Mac Allister_627,31,1,0.5
Alexis_Mac Allister_627,32,2,0.75
Alexis_Mac Allister_627,33,1,1.25
Alexis_Mac Allister_627,34,2,1.25
Alexis_Mac Allister_627,36,1,1.25
Alexis_Mac Allister_627,37,1,1.0
Alexis_Mac Allister_627,38,2,1.0
Alireza_Jahanbakhsh_50,16,1,0.0
Alireza_Jahanbakhsh_50,20,8,0.25
Alireza_Jahanbakhsh_50,21,8,2.0
Alireza_Jahanbakhsh_50,22,2,4.0
Alireza_Jahanbakhsh_50,24,1,4.5
Alireza_Jahanbakhsh_50,26,4,0.75
Alireza_Jahanbakhsh_50,28,1,1.25
Alireza_Jahanbakhsh_50,29,1,1.25
Alireza_Jahanbakhsh_50,35,1,0.0
Alireza_Jahanbakhsh_50,38,1,0.25
Alisson_Ramses Becker_189,1,1,0.0
Alisson_Ramses Becker_189,9,2,0.0
Alisson_Ramses Becker_189,10,3,0.5
Alisson_Ramses Becker_189,11,2,1.25
Alisson_Ramses Becker_189,12,2,1.75
Alisson_Ramses Becker_189,13,3,2.25
Alisson_Ramses Becker_189,14,-1,2.5
Alisson_Ramses Becker_189,16,6,1.0
Alisson_Ramses Becker_189,17,6,2.0
Alisson_Ramses Becker_189,19,6,3.0
Alisson_Ramses Becker_189,20,6,4.5
Alisson_Ramses Becker_189,21,6,4.5
Alisson_Ramses Becker_189,22,9,4.5
Alisson_Ramses Becker_189,23,13,6.75
Alisson_Ramses Becker_189,24,7,8.5
Alisson_Ramses Becker_189,24,2,8.75
Alisson_Ramses Becker_189,25,8,7.75
Alisson_Ramses Becker_189,26,6,7.5
Alisson_Ramses Becker_189,27,1,5.75
Alisson_Ramses Becker_189,28,1,4.25
Alisson_Ramses Becker_189,30,10,2.0
