name,GW,points,form
Alex_Iwobi_15,26,8,1.5
Alex_Iwobi_15,27,6,3.0
Alex_Iwobi_15,28,1,4.25
Alex_Iwobi_15,29,2,4.25
Alex_Iwobi_15,30,1,4.25
Alex_Iwobi_15,32,3,1.0
Alex_Iwobi_15,33,1,1.5
Alex_Iwobi_15,34,3,1.25
Alex_Iwobi_15,35,2,1.75
Alex_Iwobi_15,35,1,2.25
Alex_Iwobi_15,36,1,1.75
Alex_Iwobi_15,37,1,1.75
Alex_Iwobi_15,38,10,1.25
Alex_McCarthy_328,1,11,0.0
Alex_McCarthy_328,2,2,11.0
Alex_McCarthy_328,3,2,6.5
Alex_McCarthy_328,4,8,5.0
Alex_McCarthy_328,5,0,5.75
Alex_McCarthy_328,6,1,3.0
Alex_McCarthy_328,7,2,2.75
Alex_McCarthy_328,8,2,2.75
Alex_McCarthy_328,9,6,1.25
Alex_McCarthy_328,10,6,2.75
Alex_McCarthy_328,11,0,4.0
Alex_McCarthy_328,12,5,3.5
Alex_McCarthy_328,13,1,4.25
Alex_McCarthy_328,14,2,3.0
Alex_McCarthy_328,15,2,2.0
Alex_McCarthy_328,16,3,2.5
Alex_McCarthy_328,17,1,2.0
Alex_McCarthy_328,18,3,2.0
Alex_McCarthy_328,19,2,2.25
Alex_McCarthy_328,20,2,2.25
Alex_McCarthy_328,22,3,1.75
Alex_McCarthy_328,23,2,1.75
Alex_McCarthy_328,24,2,1.75
Alex_McCarthy_328,25,4,1.75
Alex_McCarthy_328,26,1,2.75
Alex_Oxlade-Chamberlain_248,36,1,0.0
Alex_Oxlade-Chamberlain_248,38,1,0.25
Alex_Pritchard_206,1,1,0.0
Alex_Pritchard_206,2,2,1.0
Alex_Pritchard_206,6,1,0.5
Alex_Pritchard_206,7,2,0.25
Alex_Pritchard_206,8,2,0.75
Alex_Pritchard_206,9,2,1.25
Alex_Pritchard_206,10,2,1.75
Alex_Pritchard_206,11,3,2.0
Alex_Pritchard_206,12,8,2.25
Alex_Pritchard_206,13,3,3.75
Alex_Pritchard_206,14,1,4.0
Alex_Pritchard_206,15,2,3.75
Alex_Pritchard_206,16,1,3.5
Alex_Pritchard_206,17,2,1.75
Alex_Pritchard_206,18,2,1.5
Alex_Pritchard_206,19,2,1.75
Alex_Pritchard_206,20,3,1.75
Alex_Pritchard_206,21,1,2.25
Alex_Pritchard_206,22,3,2.0
Alex_Pritchard_206,23,1,2.25
Alex_Pritchard_206,25,1,1.25
Alex_Pritchard_206,28,3,0.25
Alex_Pritchard_206,29,3,1.0
Alex_Pritchard_206,30,2,1.5
Alex_Pritchard_206,31,1,2.0
Alex_Pritchard_206,32,2,2.25
Alex_Pritchard_206,33,1,2.0
Alex_Pritchard_206,36,1,0.75
Alex_Pritchard_206,37,2,0.5
Alex_Pritchard_206,38,9,0.75
Alexander_Sørloth_153,1,1,0.0
Alexander_Sørloth_153,2,1,1.0
Alexander_Sørloth_153,3,1,1.0
Alexander_Sørloth_153,4,1,1.0
Alexander_Sørloth_153,6,1,0.75
Alexander_Sørloth_153,7,1,0.75
